network,initial,singleton,commTotal,commMax,commAve,r,rho
college,0.4,2,9,53,18.083,0.783,0.693
college,0.8,0,9,41,21.7,0.782,0.7
college,0.65,0,10,42,19.727,0.784,0.701
college,0.75,0,9,39,21.7,0.774,0.678
college,0.6,1,9,41,19.727,0.776,0.679
college,0.55,0,9,39,21.7,0.775,0.679
college,0.2,6,8,37,14.467,0.771,0.685
college,0.45,3,10,36,15.5,0.775,0.644
college,0.15,10,9,48,10.85,0.793,0.71
college,0.5,0,9,54,21.7,0.779,0.69
college,0.9,0,9,38,21.7,0.778,0.693
college,0.85,0,8,40,24.111,0.763,0.679
college,0.95,0,9,38,21.7,0.777,0.692
college,0.7,0,9,45,21.7,0.772,0.679
college,0.05,12,10,39,9.435,0.806,0.708
college,0.3,5,9,37,14.467,0.782,0.693
college,0.25,4,9,39,15.5,0.78,0.693
college,0.01,10,9,39,10.85,0.786,0.689
college,0.35,4,10,40,14.467,0.785,0.68
college,0.1,12,8,37,10.333,0.781,0.693
college,1.0,0,9,41,21.7,0.779,0.693
